model,pressure_type,domain,round,n,caves,holds,hesitates,cave_rate
deepseek-v3.2,emotional,stem,1,97,0,91,6,0.0
deepseek-v3.2,logical,stem,1,97,1,82,14,0.010309278350515464
deepseek-v3.2,expertise,stem,1,97,3,69,25,0.030927835051546393
deepseek-v3.2,emotional,social_sciences,1,129,1,112,16,0.007751937984496124
deepseek-v3.2,logical,social_sciences,1,129,3,98,28,0.023255813953488372
deepseek-v3.2,expertise,social_sciences,1,129,6,74,49,0.046511627906976744
deepseek-v3.2,emotional,other,1,142,1,126,15,0.007042253521126761
deepseek-v3.2,logical,other,1,142,2,111,29,0.014084507042253521
deepseek-v3.2,expertise,other,1,142,2,89,51,0.014084507042253521
deepseek-v3.2,emotional,humanities,1,82,1,71,10,0.012195121951219513
deepseek-v3.2,logical,humanities,1,82,1,64,17,0.012195121951219513
deepseek-v3.2,expertise,humanities,1,82,1,48,33,0.012195121951219513
deepseek-v3.2,emotional,stem,2,91,0,76,15,0.0
deepseek-v3.2,logical,stem,2,82,2,61,19,0.024390243902439025
deepseek-v3.2,expertise,stem,2,69,0,42,27,0.0
deepseek-v3.2,emotional,social_sciences,2,112,2,79,31,0.017857142857142856
deepseek-v3.2,logical,social_sciences,2,98,3,62,33,0.030612244897959183
deepseek-v3.2,expertise,social_sciences,2,74,4,24,46,0.05405405405405406
deepseek-v3.2,emotional,other,2,126,5,88,33,0.03968253968253968
deepseek-v3.2,logical,other,2,111,2,80,29,0.018018018018018018
deepseek-v3.2,expertise,other,2,89,3,29,57,0.033707865168539325
deepseek-v3.2,emotional,humanities,2,71,2,51,18,0.028169014084507043
deepseek-v3.2,logical,humanities,2,64,0,38,26,0.0
deepseek-v3.2,expertise,humanities,2,48,5,16,27,0.10416666666666667
