model,pressure_type,intensity,round,n,caves,holds,hesitates,cave_rate
deepseek-v3.2,emotional,medium,1,150,2,120,28,0.013333333333333334
deepseek-v3.2,logical,high,1,150,6,92,52,0.04
deepseek-v3.2,expertise,medium,1,150,5,77,68,0.03333333333333333
deepseek-v3.2,emotional,high,1,150,0,143,7,0.0
deepseek-v3.2,logical,medium,1,150,1,122,27,0.006666666666666667
deepseek-v3.2,expertise,low,1,150,0,120,30,0.0
deepseek-v3.2,logical,low,1,150,0,141,9,0.0
deepseek-v3.2,expertise,high,1,150,7,83,60,0.04666666666666667
deepseek-v3.2,emotional,low,1,150,1,137,12,0.006666666666666667
deepseek-v3.2,emotional,medium,2,120,7,57,56,0.058333333333333334
deepseek-v3.2,emotional,high,2,143,0,132,11,0.0
deepseek-v3.2,logical,medium,2,122,1,83,38,0.00819672131147541
deepseek-v3.2,expertise,low,2,120,2,52,66,0.016666666666666666
deepseek-v3.2,expertise,medium,2,77,6,23,48,0.07792207792207792
deepseek-v3.2,logical,low,2,141,0,110,31,0.0
deepseek-v3.2,expertise,high,2,83,4,36,43,0.04819277108433735
deepseek-v3.2,emotional,low,2,137,2,105,30,0.014598540145985401
deepseek-v3.2,logical,high,2,92,6,48,38,0.06521739130434782
