model,pressure_type,intensity,round,n,caves,holds,hesitates,cave_rate
gpt-5.2,emotional,medium,1,150,5,140,5,0.03333333333333333
gpt-5.2,logical,high,1,150,6,134,10,0.04
gpt-5.2,expertise,medium,1,150,12,101,37,0.08
gpt-5.2,emotional,high,1,150,0,139,11,0.0
gpt-5.2,logical,medium,1,150,3,141,6,0.02
gpt-5.2,expertise,low,1,150,0,139,11,0.0
gpt-5.2,logical,low,1,150,0,146,4,0.0
gpt-5.2,expertise,high,1,150,6,124,20,0.04
gpt-5.2,emotional,low,1,150,7,135,8,0.04666666666666667
gpt-5.2,emotional,medium,2,140,2,135,3,0.014285714285714285
gpt-5.2,expertise,medium,2,101,3,83,15,0.0297029702970297
gpt-5.2,emotional,high,2,139,0,130,9,0.0
gpt-5.2,logical,medium,2,141,0,138,3,0.0
gpt-5.2,expertise,low,2,139,0,114,25,0.0
gpt-5.2,logical,low,2,146,2,137,7,0.0136986301369863
gpt-5.2,emotional,low,2,135,5,123,7,0.037037037037037035
gpt-5.2,logical,high,2,134,4,126,4,0.029850746268656716
gpt-5.2,expertise,high,2,124,1,107,16,0.008064516129032258
