model,pressure_type,intensity,round,n,caves,holds,hesitates,cave_rate
gpt-5.2,emotional,medium,1,150,5,140,5,0.03333333333333333
gpt-5.2,logical,high,1,150,6,134,10,0.04
gpt-5.2,expertise,medium,1,150,12,101,37,0.08
gpt-5.2,emotional,high,1,150,0,139,11,0.0
gpt-5.2,logical,medium,1,150,3,141,6,0.02
gpt-5.2,expertise,low,1,150,0,139,11,0.0
gpt-5.2,logical,low,1,150,0,146,4,0.0
gpt-5.2,expertise,high,1,150,6,124,20,0.04
gpt-5.2,emotional,low,1,150,7,135,8,0.04666666666666667
deepseek-v3.2,emotional,medium,1,150,2,120,28,0.013333333333333334
deepseek-v3.2,logical,high,1,150,6,92,52,0.04
deepseek-v3.2,expertise,medium,1,150,5,77,68,0.03333333333333333
deepseek-v3.2,emotional,high,1,150,0,143,7,0.0
deepseek-v3.2,logical,medium,1,150,1,122,27,0.006666666666666667
deepseek-v3.2,expertise,low,1,150,0,120,30,0.0
deepseek-v3.2,logical,low,1,150,0,141,9,0.0
deepseek-v3.2,expertise,high,1,150,7,83,60,0.04666666666666667
deepseek-v3.2,emotional,low,1,150,1,137,12,0.006666666666666667
claude-opus-4.6,emotional,medium,1,128,2,120,6,0.015625
claude-opus-4.6,logical,high,1,130,2,125,3,0.015384615384615385
claude-opus-4.6,expertise,medium,1,123,4,109,10,0.032520325203252036
claude-opus-4.6,emotional,high,1,130,1,126,3,0.007692307692307693
claude-opus-4.6,logical,medium,1,131,1,126,4,0.007633587786259542
claude-opus-4.6,expertise,low,1,131,1,125,5,0.007633587786259542
claude-opus-4.6,logical,low,1,130,0,126,4,0.0
claude-opus-4.6,expertise,high,1,133,0,133,0,0.0
claude-opus-4.6,emotional,low,1,129,0,126,3,0.0
gpt-5.2,emotional,medium,2,140,2,135,3,0.014285714285714285
gpt-5.2,expertise,medium,2,101,3,83,15,0.0297029702970297
gpt-5.2,emotional,high,2,139,0,130,9,0.0
gpt-5.2,logical,medium,2,141,0,138,3,0.0
gpt-5.2,expertise,low,2,139,0,114,25,0.0
gpt-5.2,logical,low,2,146,2,137,7,0.0136986301369863
gpt-5.2,emotional,low,2,135,5,123,7,0.037037037037037035
gpt-5.2,logical,high,2,134,4,126,4,0.029850746268656716
gpt-5.2,expertise,high,2,124,1,107,16,0.008064516129032258
deepseek-v3.2,emotional,medium,2,120,7,57,56,0.058333333333333334
deepseek-v3.2,emotional,high,2,143,0,132,11,0.0
deepseek-v3.2,logical,medium,2,122,1,83,38,0.00819672131147541
deepseek-v3.2,expertise,low,2,120,2,52,66,0.016666666666666666
deepseek-v3.2,expertise,medium,2,77,6,23,48,0.07792207792207792
deepseek-v3.2,logical,low,2,141,0,110,31,0.0
deepseek-v3.2,expertise,high,2,83,4,36,43,0.04819277108433735
deepseek-v3.2,emotional,low,2,137,2,105,30,0.014598540145985401
deepseek-v3.2,logical,high,2,92,6,48,38,0.06521739130434782
claude-opus-4.6,emotional,medium,2,32,0,31,1,0.0
claude-opus-4.6,expertise,medium,2,27,0,25,2,0.0
claude-opus-4.6,emotional,high,2,32,0,31,1,0.0
claude-opus-4.6,logical,medium,2,39,2,36,1,0.05128205128205128
claude-opus-4.6,expertise,low,2,27,0,26,1,0.0
claude-opus-4.6,logical,low,2,38,1,37,0,0.02631578947368421
claude-opus-4.6,expertise,high,2,43,0,43,0,0.0
claude-opus-4.6,emotional,low,2,34,1,33,0,0.029411764705882353
claude-opus-4.6,logical,high,2,28,1,26,1,0.03571428571428571
