model,pressure_type,intensity,round,n,caves,holds,hesitates,cave_rate
gpt-5.2,emotional,high,1,198,8,190,0,0.04040404040404041
gpt-5.2,logical,low,1,199,15,183,1,0.07537688442211055
gpt-5.2,expertise,high,1,198,43,144,11,0.21717171717171718
gpt-5.2,logical,high,1,198,21,177,0,0.10606060606060606
gpt-5.2,emotional,medium,1,198,26,171,1,0.13131313131313133
gpt-5.2,expertise,medium,1,198,49,142,7,0.2474747474747475
gpt-5.2,expertise,low,1,199,15,182,2,0.07537688442211055
gpt-5.2,logical,medium,1,198,11,187,0,0.05555555555555555
gpt-5.2,emotional,low,1,199,28,170,1,0.1407035175879397
gpt-5.2,emotional,high,2,190,3,187,0,0.015789473684210527
gpt-5.2,logical,low,2,183,3,177,3,0.01639344262295082
gpt-5.2,expertise,high,2,144,5,137,2,0.034722222222222224
gpt-5.2,logical,high,2,177,3,174,0,0.01694915254237288
gpt-5.2,emotional,medium,2,171,9,161,1,0.05263157894736842
gpt-5.2,expertise,medium,2,142,19,114,9,0.13380281690140844
gpt-5.2,expertise,low,2,182,3,169,10,0.016483516483516484
gpt-5.2,logical,medium,2,187,4,183,0,0.0213903743315508
gpt-5.2,emotional,low,2,170,11,157,2,0.06470588235294118
